   ,CSR_NUMBER,LADBS_INSP_DIST,ADDR_HSE_NUM,ADDR_HSE_FRAC_NUM,ADDR_STR_DIR,ADDR_STR_NAME,ADDR_STR_SUFFIX,ADDR_STR_SUFFIX_DIR,ADDR_STR_ZIP,DATE_RECEIVED,DATE_CLOSED,DUE_DATE,CASEFLAG,CSR_PRIORITY,PIN,CSR_PROBLEM_DESC,APC,CASE_NUMBER_TO_CSR,RESPONSE_DAYS,LAT,LON
35,364966,2120,5115, ,E,CAVANAGH,ROAD, ,90032,1/7/16,1/12/16,2/5/16,N,2,136-5A235 119,ILUSE,East Los Angeles,,3,34.06924,-118.17266
36,364974,3113,20905, ,W,COSTANSO,ST, ,91364,1/7/16,1/9/16,2/5/16,N,2,171B109   117,ILUSE,South Valley,,2,34.16562,-118.58864
37,364955,3124,10819, ,N,SCOVILLE,AVE, ,91040,1/7/16,1/14/16,2/5/16,N,2,207B189   363,ILUSE,North Valley,,5,34.26561,-118.31417
38,364982,2102,5322, ,N,WOODMAN,AVE, ,91401,1/7/16,1/13/16,2/5/16,Y,2,171B157   250,ILUSE,South Valley,708473,4,34.16730,-118.43104
39,365050,3113,21218, ,W,VENTURA,BLVD, ,91364,1/8/16,1/13/16,2/8/16,N,2,171B105   157,ILUSE,South Valley,,3,34.16723,-118.59530
40,365068,1122,634, ,W,42ND,ST, ,90037,1/9/16,1/28/16,2/8/16,N,2,114A201   158,ILUSE,South Los Angeles,,13,34.00691,-118.28531
41,365070,3100,7426, ,N,GLORIA,AVE, ,91406,1/9/16,1/19/16,2/8/16,Y,2,186B141   410,ILUSE,South Valley,708773,6,34.20568,-118.47917
42,365169,1111,3316, ,W,78TH,PL, ,90043,1/11/16,1/21/16,2/9/16,Y,2,099B185   353,ILUSE,South Los Angeles,709233,8,33.96798,-118.33016
43,365130,2141,4308, ,W,BURNS,AVE, ,90029,1/11/16,1/14/16,2/9/16,Y,2,144B197  1293,ILUSE,Central,708708,3,34.08745,-118.28732
44,365143,2103,5690, ,W,HILL OAK,DR, ,90068,1/11/16,1/12/16,2/9/16,N,2,153B193   274,ILUSE,Central,,1,34.11324,-118.31362
45,365120,3111,7526, ,N,IRONDALE,AVE, ,91306,1/11/16,1/12/16,2/9/16,N,2,186B109   383,ILUSE,South Valley,,1,34.20717,-118.58508
46,365109,2130,2684, ,N,LACY,ST, ,90031,1/11/16,2/5/16,2/9/16,N,2,142-5A221 293,ILUSE,East Los Angeles,,19,34.08349,-118.21806
47,365158,2121,2045, ,S,SANTA FE,AVE, ,90021,1/11/16,2/1/16,2/9/16,Y,2,118-5A217  93,ILUSE,Central,710201,15,34.01985,-118.23045
48,365101,3100,16663, ,W,VICTORY,BLVD, ,91406,1/11/16,1/20/16,2/9/16,N,2,180B137   710,ILUSE,South Valley,,7,34.18681,-118.49673
49,365191,2112,17346, ,W,COLLINS,ST, ,91316,1/12/16,1/13/16,2/10/16,Y,2,174B133   454,ILUSE,South Valley,708430,1,34.17370,-118.51160
50,365223,1111,7811, ,S,DENKER,AVE, ,90047,1/12/16,1/20/16,2/10/16,N,2,099B193   511,ILUSE,South Los Angeles,,6,33.96875,-118.30480
51,365211,1133,1310, ,S,GRAMERCY,PL, ,90019,1/12/16,1/14/16,2/10/16,N,2,129B193  1348,ILUSE,South Los Angeles,,2,34.04668,-118.31287
52,365239,2130,2928, ,N,IDELL,ST, ,90065,1/12/16,1/14/16,2/10/16,Y,2,144A219   313,ILUSE,East Los Angeles,708616,2,34.08802,-118.22198
53,365173,2123,1083, ,N,MILWAUKEE,AVE, ,90042,1/12/16,1/12/16,2/10/16,N,2,156A229    84,ILUSE,East Los Angeles,,0,34.12345,-118.19110
54,365284,3124,6547, ,N,BEN,AVE, ,91606,1/13/16,1/15/16,2/11/16,N,2,180B165   450,ILUSE,South Valley,,2,34.18989,-118.39444
55,365254,3124,5726, ,N,CASE,AVE, ,91601,1/13/16,1/15/16,2/11/16,Y,2,174B173   528,ILUSE,South Valley,708762,2,34.17473,-118.37182
56,365301,1122,5732, ,S,CENTRAL,AVE, ,90011,1/13/16,1/19/16,2/11/16,Y,2,108B209  1311,ILUSE,South Los Angeles,708969,4,33.99037,-118.25625
57,365261,3111,23135, ,W,DOLOROSA,ST, ,91367,1/13/16,1/21/16,2/11/16,N,2,174B093   428,ILUSE,South Valley,,6,34.17076,-118.63104
58,365255,1122,5727, ,S,DUARTE,ST, ,90058,1/13/16,1/11/16,2/11/16,Y,2,108B213   589,ILUSE,South Los Angeles,708177,2,33.99042,-118.24237
59,365332,3124,7660, ,W,FOOTHILL,BLVD, ,91042,1/13/16,1/15/16,2/11/16,Y,2,204A197    12,ILUSE,North Valley,709186,2,34.25574,-118.29951
60,365333,2141,943, ,N,HELIOTROPE,DR, ,90029,1/13/16,1/22/16,2/11/16,Y,2,144B197  1023,ILUSE,Central,709647,7,34.08922,-118.29525
61,365306,2133,2588, ,W,PICO,BLVD, ,90006,1/13/16,1/28/16,2/11/16,N,2,129B197  1119,ILUSE,South Los Angeles,,11,34.04705,-118.29438
62,365312,3111,21044, ,W,SHERMAN,WAY, ,91303,1/13/16,1/15/16,2/11/16,N,2,183B105   227,ILUSE,South Valley,,2,34.20085,-118.59206
63,365307,3123,12780, ,N,TELFAIR,AVE, ,91342,1/13/16,1/14/16,2/11/16,Y,2,222B145   702,ILUSE,North Valley,708603,1,34.30261,-118.47020
